Transaction_ID,Date,Department,Cost_Category,Budgeted_Revenue,Actual_Revenue,Budgeted_Cost,Actual_Cost
FIN-10045,01/02/2025,Operations,Office Supplies,$0.00,$0.00,"$32,399.00","$36,392.00"
FIN-10046,13/07/2024,Sales,Payroll,"$120,091.00","$120,408.00","$55,525.00","$54,390.00"
FIN-10047,31/10/2025,Operations,Cloud Infrastructure,$0.00,$0.00,"$20,677.00","$24,229.00"
FIN-10048,27/01/2024,Marketing,Travel & Entertainment,"$104,045.00","$108,574.00","$49,790.00","$52,167.00"
FIN-10049,28/03/2025,HR,Travel & Entertainment,$0.00,$0.00,"$19,007.00","$18,707.00"
FIN-10050,30/06/2025,Sales,Payroll,"$106,491.00","$120,562.00","$53,484.00","$52,621.00"
FIN-10051,01/06/2025,Engineering,Office Supplies,$0.00,$0.00,"$43,828.00","$51,651.00"
FIN-10052,11/05/2025,Operations,Cloud Infrastructure,$0.00,$0.00,"$10,699.00","$12,367.00"
FIN-10053,09/07/2024,Operations,Travel & Entertainment,$0.00,$0.00,"$45,743.00","$52,848.00"
FIN-10054,12/09/2024,Engineering,Software Licenses,$0.00,$0.00,"$44,584.00","$45,404.00"
FIN-10055,19/07/2025,Marketing,Cloud Infrastructure,"$101,885.00","$89,572.00","$17,455.00","$19,223.00"
FIN-10056,24/10/2025,Marketing,Cloud Infrastructure,"$60,729.00","$67,604.00","$10,784.00","$12,451.00"
FIN-10057,27/01/2025,Engineering,Advertising,$0.00,$0.00,"$50,111.00","$53,410.00"
FIN-10058,12/11/2025,Marketing,Cloud Infrastructure,"$100,993.00","$112,114.00","$18,716.00","$17,302.00"
FIN-10059,05/02/2024,Operations,Office Supplies,$0.00,$0.00,"$12,368.00","$11,394.00"
FIN-10060,03/02/2025,HR,Cloud Infrastructure,$0.00,$0.00,"$23,403.00","$25,126.00"
FIN-10061,20/02/2024,Sales,Software Licenses,"$99,726.00","$114,141.00","$32,677.00","$35,201.00"
FIN-10062,07/12/2024,Sales,Office Supplies,"$120,313.00","$131,956.00","$39,749.00","$42,178.00"
FIN-10063,04/09/2025,Sales,Travel & Entertainment,"$53,051.00","$60,455.00","$31,606.00","$29,254.00"
FIN-10064,15/12/2024,Engineering,Office Supplies,$0.00,$0.00,"$49,567.00","$59,121.00"
FIN-10065,27/09/2025,Marketing,Advertising,"$141,794.00","$154,350.00","$27,214.00","$28,031.00"
FIN-10066,27/02/2024,Marketing,Travel & Entertainment,"$82,217.00","$93,628.00","$11,150.00","$12,363.00"
FIN-10067,02/10/2025,Marketing,Software Licenses,"$66,896.00","$65,739.00","$56,175.00","$59,813.00"
FIN-10068,13/07/2025,Sales,Travel & Entertainment,"$53,343.00","$53,610.00","$39,375.00","$41,985.00"
FIN-10069,03/09/2024,Engineering,Office Supplies,$0.00,$0.00,"$11,679.00","$11,066.00"
FIN-10070,26/03/2024,Sales,Travel & Entertainment,"$111,389.00","$97,748.00","$54,078.00","$49,330.00"
FIN-10071,28/03/2025,HR,Software Licenses,$0.00,$0.00,"$45,247.00","$51,675.00"
FIN-10072,03/09/2025,Sales,Advertising,"$109,101.00","$114,003.00","$48,649.00","$52,772.00"
FIN-10073,09/04/2024,Marketing,Office Supplies,"$90,158.00","$77,048.00","$54,690.00","$57,475.00"
FIN-10074,20/11/2024,Operations,Office Supplies,$0.00,$0.00,"$37,663.00","$34,694.00"
FIN-10075,14/09/2024,Sales,Office Supplies,"$141,007.00","$146,777.00","$10,851.00","$11,639.00"
FIN-10076,20/11/2025,Engineering,Office Supplies,$0.00,$0.00,"$36,144.00","$37,498.00"
FIN-10077,21/11/2025,Engineering,Travel & Entertainment,$0.00,$0.00,"$48,155.00","$48,917.00"
FIN-10078,20/02/2025,Marketing,Cloud Infrastructure,"$139,643.00","$130,173.00","$30,491.00","$28,363.00"
FIN-10079,09/09/2024,Engineering,Software Licenses,$0.00,$0.00,"$44,850.00","$44,893.00"
FIN-10080,30/03/2024,Operations,Software Licenses,$0.00,$0.00,"$25,305.00","$22,951.00"
FIN-10081,21/02/2025,Engineering,Payroll,$0.00,$0.00,"$30,358.00","$28,398.00"
FIN-10082,15/05/2025,Marketing,Travel & Entertainment,"$61,338.00","$68,284.00","$50,355.00","$51,633.00"
FIN-10083,06/11/2025,Marketing,Travel & Entertainment,"$68,888.00","$70,304.00","$58,816.00","$65,844.00"
FIN-10084,01/07/2025,Marketing,Payroll,"$115,510.00","$118,301.00","$33,190.00","$39,138.00"
FIN-10085,06/02/2024,HR,Payroll,$0.00,$0.00,"$30,150.00","$33,926.00"
FIN-10086,04/08/2024,Engineering,Payroll,$0.00,$0.00,"$56,352.00","$59,749.00"
FIN-10087,18/08/2025,Sales,Advertising,"$116,234.00","$102,285.00","$23,923.00","$21,608.00"
FIN-10088,20/08/2024,Engineering,Office Supplies,$0.00,$0.00,"$14,360.00","$14,299.00"
FIN-10089,18/01/2025,HR,Cloud Infrastructure,$0.00,$0.00,"$15,486.00","$14,324.00"
FIN-10090,09/03/2024,Engineering,Office Supplies,$0.00,$0.00,"$33,576.00","$35,795.00"
FIN-10091,13/04/2025,HR,Travel & Entertainment,$0.00,$0.00,"$11,167.00","$12,695.00"
FIN-10092,18/04/2024,Operations,Software Licenses,$0.00,$0.00,"$31,689.00","$29,067.00"
FIN-10093,10/08/2024,Marketing,Travel & Entertainment,"$73,714.00","$82,287.00","$47,098.00","$52,361.00"
FIN-10094,10/08/2025,Sales,Software Licenses,"$132,873.00","$137,585.00","$21,516.00","$24,776.00"
FIN-10095,22/06/2024,Operations,Software Licenses,$0.00,$0.00,"$37,569.00","$43,864.00"
FIN-10096,12/07/2024,Operations,Travel & Entertainment,$0.00,$0.00,"$36,962.00","$39,711.00"
FIN-10097,30/12/2024,Sales,Advertising,"$141,792.00","$160,816.00","$47,080.00","$50,731.00"
FIN-10098,10/03/2024,HR,Cloud Infrastructure,$0.00,$0.00,"$16,588.00","$16,810.00"
FIN-10099,15/06/2024,Engineering,Software Licenses,$0.00,$0.00,"$38,178.00","$35,633.00"
FIN-10100,26/03/2025,Operations,Travel & Entertainment,$0.00,$0.00,"$31,233.00","$32,501.00"
FIN-10101,27/02/2024,HR,Office Supplies,$0.00,$0.00,"$23,116.00","$26,510.00"
FIN-10102,01/01/2024,Engineering,Travel & Entertainment,$0.00,$0.00,"$24,683.00","$29,339.00"
FIN-10103,09/07/2024,HR,Payroll,$0.00,$0.00,"$33,960.00","$39,413.00"
FIN-10104,26/04/2024,Marketing,Office Supplies,"$72,700.00","$62,736.00","$30,559.00","$32,340.00"
FIN-10105,21/07/2024,HR,Travel & Entertainment,$0.00,$0.00,"$35,826.00","$39,717.00"
FIN-10106,16/03/2025,Marketing,Payroll,"$102,528.00","$108,548.00","$52,356.00","$58,066.00"
FIN-10107,15/09/2024,Sales,Cloud Infrastructure,"$128,859.00","$146,591.00","$21,023.00","$24,535.00"
FIN-10108,11/02/2025,HR,Travel & Entertainment,$0.00,$0.00,"$39,703.00","$37,753.00"
FIN-10109,06/11/2025,Marketing,Software Licenses,"$81,921.00","$76,168.00","$47,732.00","$56,911.00"
FIN-10110,16/05/2025,Sales,Payroll,"$128,752.00","$125,322.00","$45,547.00","$44,694.00"
FIN-10111,11/07/2025,Engineering,Travel & Entertainment,$0.00,$0.00,"$55,445.00","$65,698.00"
FIN-10112,12/09/2024,Operations,Payroll,$0.00,$0.00,"$10,009.00","$11,808.00"
FIN-10113,29/08/2024,Engineering,Travel & Entertainment,$0.00,$0.00,"$47,892.00","$43,481.00"
FIN-10114,08/01/2025,Sales,Software Licenses,"$58,415.00","$66,919.00","$33,833.00","$34,315.00"
FIN-10115,19/11/2025,Operations,Payroll,$0.00,$0.00,"$28,017.00","$25,524.00"
FIN-10116,25/05/2025,Sales,Travel & Entertainment,"$90,943.00","$79,357.00","$22,763.00","$26,037.00"
FIN-10117,06/10/2025,Engineering,Travel & Entertainment,$0.00,$0.00,"$33,574.00","$37,961.00"
FIN-10118,07/11/2025,Marketing,Software Licenses,"$103,330.00","$95,498.00","$48,765.00","$47,566.00"
FIN-10119,15/11/2025,Operations,Office Supplies,$0.00,$0.00,"$31,949.00","$37,171.00"
FIN-10120,02/05/2025,Marketing,Office Supplies,"$57,239.00","$49,034.00","$59,401.00","$62,732.00"
FIN-10121,27/04/2024,Engineering,Cloud Infrastructure,$0.00,$0.00,"$42,049.00","$48,594.00"
FIN-10122,23/02/2024,HR,Travel & Entertainment,$0.00,$0.00,"$34,285.00","$39,000.00"
FIN-10123,04/02/2025,Operations,Travel & Entertainment,$0.00,$0.00,"$22,173.00","$24,639.00"
FIN-10124,10/03/2025,HR,Software Licenses,$0.00,$0.00,"$16,949.00","$18,346.00"
FIN-10125,30/11/2024,Engineering,Cloud Infrastructure,$0.00,$0.00,"$20,209.00","$20,299.00"
FIN-10126,14/06/2024,Sales,Office Supplies,"$120,173.00","$124,574.00","$53,088.00","$62,901.00"
FIN-10127,17/05/2024,Sales,Software Licenses,"$69,963.00","$60,858.00","$46,932.00","$56,037.00"
FIN-10128,22/02/2024,Marketing,Travel & Entertainment,"$86,586.00","$88,654.00","$55,002.00","$50,753.00"
FIN-10129,24/10/2025,Engineering,Advertising,$0.00,$0.00,"$32,415.00","$35,405.00"
FIN-10130,25/12/2024,HR,Payroll,$0.00,$0.00,"$28,271.00","$29,463.00"
FIN-10131,02/04/2024,Marketing,Travel & Entertainment,"$61,314.00","$52,868.00","$31,508.00","$31,619.00"
FIN-10132,12/11/2025,Operations,Advertising,$0.00,$0.00,"$23,716.00","$25,248.00"
FIN-10133,06/10/2025,Sales,Office Supplies,"$68,777.00","$76,910.00","$52,928.00","$55,628.00"
FIN-10134,13/03/2024,Marketing,Payroll,"$72,574.00","$75,358.00","$20,478.00","$21,573.00"
FIN-10135,16/04/2024,Operations,Payroll,$0.00,$0.00,"$39,721.00","$46,095.00"
FIN-10136,08/01/2024,Sales,Cloud Infrastructure,"$100,428.00","$115,078.00","$10,302.00","$10,416.00"
FIN-10137,09/06/2025,Marketing,Office Supplies,"$123,686.00","$124,846.00","$58,513.00","$65,782.00"
FIN-10138,09/06/2025,Engineering,Cloud Infrastructure,$0.00,$0.00,"$15,126.00","$16,731.00"
FIN-10139,28/12/2024,HR,Travel & Entertainment,$0.00,$0.00,"$50,441.00","$50,755.00"
FIN-10140,15/01/2024,Sales,Travel & Entertainment,"$60,267.00","$51,589.00","$39,926.00","$37,001.00"
FIN-10141,05/05/2024,HR,Payroll,$0.00,$0.00,"$49,056.00","$49,197.00"
FIN-10142,25/01/2024,HR,Software Licenses,$0.00,$0.00,"$18,258.00","$19,986.00"
FIN-10143,25/05/2024,HR,Advertising,$0.00,$0.00,"$24,369.00","$26,009.00"
FIN-10144,03/01/2025,HR,Cloud Infrastructure,$0.00,$0.00,"$25,913.00","$25,527.00"
FIN-10145,01/06/2025,HR,Software Licenses,$0.00,$0.00,"$58,447.00","$62,610.00"
FIN-10146,10/11/2024,Operations,Advertising,$0.00,$0.00,"$13,812.00","$16,299.00"
FIN-10147,12/03/2025,Operations,Advertising,$0.00,$0.00,"$11,605.00","$11,300.00"
FIN-10148,30/05/2025,Engineering,Advertising,$0.00,$0.00,"$20,589.00","$19,600.00"
FIN-10149,16/05/2024,Engineering,Cloud Infrastructure,$0.00,$0.00,"$45,358.00","$46,406.00"
FIN-10150,01/07/2025,Marketing,Office Supplies,"$129,579.00","$145,804.00","$32,350.00","$37,044.00"
FIN-10151,28/08/2025,Engineering,Advertising,$0.00,$0.00,"$48,328.00","$53,911.00"
FIN-10152,26/01/2025,Marketing,Cloud Infrastructure,"$138,236.00","$149,412.00","$16,469.00","$19,604.00"
FIN-10153,12/08/2024,HR,Payroll,$0.00,$0.00,"$49,051.00","$45,835.00"
FIN-10154,30/03/2024,Operations,Advertising,$0.00,$0.00,"$30,618.00","$36,117.00"
FIN-10155,15/09/2024,Sales,Advertising,"$109,383.00","$97,386.00","$32,422.00","$34,518.00"
FIN-10156,13/01/2024,Marketing,Office Supplies,"$58,512.00","$52,172.00","$53,336.00","$60,166.00"
FIN-10157,03/07/2025,Engineering,Advertising,$0.00,$0.00,"$52,078.00","$61,392.00"
FIN-10158,13/11/2024,HR,Office Supplies,$0.00,$0.00,"$52,929.00","$49,609.00"
FIN-10159,10/01/2025,Engineering,Payroll,$0.00,$0.00,"$29,019.00","$29,418.00"
FIN-10160,27/05/2025,HR,Travel & Entertainment,$0.00,$0.00,"$18,007.00","$20,678.00"
FIN-10161,16/08/2024,HR,Advertising,$0.00,$0.00,"$31,204.00","$29,828.00"
FIN-10162,13/01/2025,Marketing,Advertising,"$70,611.00","$66,717.00","$27,449.00","$27,935.00"
FIN-10163,22/10/2024,Engineering,Travel & Entertainment,$0.00,$0.00,"$16,565.00","$17,590.00"
FIN-10164,28/07/2025,Sales,Payroll,"$117,728.00","$131,840.00","$55,558.00","$58,866.00"
FIN-10165,07/09/2025,Engineering,Cloud Infrastructure,$0.00,$0.00,"$51,157.00","$60,464.00"
FIN-10166,25/01/2025,Engineering,Software Licenses,$0.00,$0.00,"$31,951.00","$30,354.00"
FIN-10167,14/09/2025,Operations,Payroll,$0.00,$0.00,"$35,053.00","$40,947.00"
FIN-10168,23/02/2025,Operations,Advertising,$0.00,$0.00,"$42,184.00","$41,910.00"
FIN-10169,14/02/2025,Sales,Advertising,"$117,779.00","$120,248.00","$42,265.00","$44,301.00"
FIN-10170,27/04/2024,Operations,Office Supplies,$0.00,$0.00,"$16,359.00","$17,687.00"
FIN-10171,15/01/2024,Operations,Travel & Entertainment,$0.00,$0.00,"$24,382.00","$24,935.00"
FIN-10172,15/11/2025,Marketing,Cloud Infrastructure,"$66,478.00","$68,441.00","$20,147.00","$21,412.00"
FIN-10173,09/10/2024,Operations,Office Supplies,$0.00,$0.00,"$22,298.00","$26,483.00"
FIN-10174,03/07/2025,Marketing,Advertising,"$140,474.00","$125,865.00","$20,380.00","$19,192.00"
FIN-10175,28/07/2024,Sales,Payroll,"$106,942.00","$114,195.00","$37,306.00","$44,007.00"
FIN-10176,21/12/2024,HR,Travel & Entertainment,$0.00,$0.00,"$48,727.00","$53,376.00"
FIN-10177,26/08/2025,Marketing,Payroll,"$136,066.00","$145,717.00","$54,327.00","$62,591.00"
FIN-10178,10/02/2025,Sales,Advertising,"$72,116.00","$82,605.00","$11,645.00","$11,131.00"
FIN-10179,01/01/2024,Engineering,Travel & Entertainment,$0.00,$0.00,"$21,694.00","$19,880.00"
FIN-10180,16/05/2024,Marketing,Office Supplies,"$89,224.00","$75,964.00","$23,224.00","$21,697.00"
FIN-10181,31/08/2024,Sales,Software Licenses,"$123,509.00","$117,815.00","$18,666.00","$20,929.00"
FIN-10182,12/06/2025,Engineering,Cloud Infrastructure,$0.00,$0.00,"$14,971.00","$17,573.00"
FIN-10183,30/06/2024,Sales,Office Supplies,"$95,765.00","$82,373.00","$56,240.00","$56,730.00"
FIN-10184,03/03/2024,Engineering,Advertising,$0.00,$0.00,"$29,097.00","$26,301.00"
FIN-10185,13/04/2025,Sales,Payroll,"$96,163.00","$94,979.00","$47,011.00","$48,157.00"
FIN-10186,20/04/2025,Operations,Payroll,$0.00,$0.00,"$30,806.00","$33,227.00"
FIN-10187,20/05/2024,Engineering,Cloud Infrastructure,$0.00,$0.00,"$43,719.00","$51,125.00"
FIN-10188,01/02/2024,Operations,Payroll,$0.00,$0.00,"$30,908.00","$31,319.00"
FIN-10189,23/05/2024,Engineering,Software Licenses,$0.00,$0.00,"$43,536.00","$49,311.00"
FIN-10190,23/06/2024,Marketing,Software Licenses,"$56,645.00","$55,638.00","$36,737.00","$38,540.00"
FIN-10191,05/10/2025,Sales,Travel & Entertainment,"$62,342.00","$70,685.00","$23,087.00","$22,664.00"
FIN-10192,10/06/2024,HR,Payroll,$0.00,$0.00,"$57,190.00","$68,266.00"
FIN-10193,26/06/2024,Operations,Payroll,$0.00,$0.00,"$55,368.00","$53,518.00"
FIN-10194,18/03/2025,Operations,Advertising,$0.00,$0.00,"$41,480.00","$47,286.00"
FIN-10195,01/08/2025,Engineering,Payroll,$0.00,$0.00,"$30,059.00","$29,200.00"
FIN-10196,21/02/2025,Engineering,Advertising,$0.00,$0.00,"$19,503.00","$22,559.00"
FIN-10197,05/05/2025,HR,Office Supplies,$0.00,$0.00,"$51,124.00","$48,175.00"
FIN-10198,07/01/2024,Marketing,Payroll,"$52,198.00","$57,649.00","$30,079.00","$28,708.00"
FIN-10199,01/07/2025,Operations,Office Supplies,$0.00,$0.00,"$18,705.00","$21,944.00"
FIN-10200,06/06/2025,Marketing,Software Licenses,"$144,914.00","$148,839.00","$24,596.00","$24,683.00"
FIN-10201,12/09/2024,Sales,Software Licenses,"$112,516.00","$105,578.00","$53,861.00","$61,074.00"
FIN-10202,15/08/2025,Marketing,Advertising,"$69,063.00","$79,119.00","$58,854.00","$67,091.00"
FIN-10203,24/04/2024,Sales,Advertising,"$128,344.00","$129,947.00","$51,196.00","$52,259.00"
FIN-10204,19/07/2024,Engineering,Advertising,$0.00,$0.00,"$51,401.00","$60,147.00"
FIN-10205,01/09/2025,Operations,Cloud Infrastructure,$0.00,$0.00,"$41,889.00","$44,356.00"
FIN-10206,11/02/2024,HR,Payroll,$0.00,$0.00,"$41,653.00","$38,327.00"
FIN-10207,07/11/2025,Sales,Advertising,"$128,411.00","$117,101.00","$50,809.00","$47,862.00"
FIN-10208,27/01/2024,Sales,Advertising,"$79,402.00","$81,722.00","$40,987.00","$44,672.00"
FIN-10209,30/03/2025,Marketing,Travel & Entertainment,"$61,664.00","$60,161.00","$34,027.00","$38,493.00"
FIN-10210,11/07/2025,Marketing,Office Supplies,"$88,709.00","$95,043.00","$29,250.00","$27,117.00"
FIN-10211,05/01/2025,Marketing,Travel & Entertainment,"$107,492.00","$118,361.00","$34,063.00","$40,012.00"
FIN-10212,05/07/2024,Engineering,Advertising,$0.00,$0.00,"$38,769.00","$39,505.00"
FIN-10213,25/10/2025,Operations,Payroll,$0.00,$0.00,"$50,483.00","$53,610.00"
FIN-10214,11/04/2025,Engineering,Office Supplies,$0.00,$0.00,"$25,850.00","$29,828.00"
FIN-10215,21/05/2025,Operations,Cloud Infrastructure,$0.00,$0.00,"$10,481.00","$11,392.00"
FIN-10216,25/03/2025,Operations,Payroll,$0.00,$0.00,"$25,048.00","$25,184.00"
FIN-10217,02/10/2025,Sales,Travel & Entertainment,"$124,666.00","$128,341.00","$55,080.00","$53,643.00"
FIN-10218,10/05/2024,Marketing,Travel & Entertainment,"$136,123.00","$144,073.00","$29,933.00","$26,986.00"
FIN-10219,07/06/2025,Engineering,Travel & Entertainment,$0.00,$0.00,"$59,082.00","$69,432.00"
FIN-10220,17/01/2024,Marketing,Payroll,"$144,006.00","$144,926.00","$30,491.00","$32,398.00"
FIN-10221,03/08/2024,Engineering,Travel & Entertainment,$0.00,$0.00,"$21,344.00","$23,427.00"
FIN-10222,08/01/2025,Sales,Software Licenses,"$112,552.00","$117,504.00","$35,064.00","$41,488.00"
FIN-10223,16/02/2024,Marketing,Payroll,"$62,182.00","$63,223.00","$29,541.00","$34,700.00"
FIN-10224,30/11/2024,Operations,Payroll,$0.00,$0.00,"$21,122.00","$24,867.00"
FIN-10225,12/05/2025,Engineering,Travel & Entertainment,$0.00,$0.00,"$16,737.00","$18,804.00"
FIN-10226,06/01/2025,Engineering,Software Licenses,$0.00,$0.00,"$27,850.00","$31,990.00"
FIN-10227,29/09/2024,Engineering,Office Supplies,$0.00,$0.00,"$40,907.00","$42,719.00"
FIN-10228,10/05/2024,Operations,Cloud Infrastructure,$0.00,$0.00,"$12,983.00","$13,402.00"
FIN-10229,29/12/2024,Sales,Office Supplies,"$104,620.00","$109,693.00","$17,564.00","$19,105.00"
FIN-10230,16/01/2024,Operations,Software Licenses,$0.00,$0.00,"$19,323.00","$18,741.00"
FIN-10231,06/11/2024,Engineering,Software Licenses,$0.00,$0.00,"$10,545.00","$9,557.00"
FIN-10232,20/05/2024,Marketing,Cloud Infrastructure,"$146,122.00","$167,949.00","$26,371.00","$24,150.00"
FIN-10233,21/04/2025,Operations,Office Supplies,$0.00,$0.00,"$22,984.00","$24,690.00"
FIN-10234,26/08/2024,Sales,Software Licenses,"$100,072.00","$95,159.00","$22,676.00","$25,389.00"
FIN-10235,19/11/2025,Engineering,Travel & Entertainment,$0.00,$0.00,"$43,933.00","$43,454.00"
FIN-10236,19/11/2024,Marketing,Advertising,"$90,600.00","$84,546.00","$34,557.00","$31,568.00"
FIN-10237,02/02/2025,Sales,Payroll,"$139,431.00","$123,721.00","$53,194.00","$63,034.00"
FIN-10238,01/03/2024,Operations,Cloud Infrastructure,$0.00,$0.00,"$42,123.00","$43,187.00"
FIN-10239,15/03/2025,Engineering,Advertising,$0.00,$0.00,"$44,636.00","$53,418.00"
FIN-10240,17/07/2025,HR,Cloud Infrastructure,$0.00,$0.00,"$58,988.00","$64,585.00"
FIN-10241,30/08/2024,Operations,Advertising,$0.00,$0.00,"$21,593.00","$19,737.00"
FIN-10242,05/08/2024,Sales,Payroll,"$105,554.00","$115,883.00","$25,876.00","$23,737.00"
FIN-10243,16/02/2024,Sales,Payroll,"$126,898.00","$130,601.00","$40,448.00","$38,513.00"
FIN-10244,04/05/2025,Engineering,Software Licenses,$0.00,$0.00,"$35,425.00","$39,279.00"
FIN-10245,03/08/2024,Engineering,Cloud Infrastructure,$0.00,$0.00,"$17,287.00","$19,436.00"
FIN-10246,29/03/2024,Sales,Office Supplies,"$84,701.00","$93,851.00","$27,674.00","$32,191.00"
FIN-10247,18/11/2024,Engineering,Office Supplies,$0.00,$0.00,"$42,284.00","$49,329.00"
FIN-10248,27/11/2024,Marketing,Payroll,"$96,542.00","$101,038.00","$25,585.00","$26,161.00"
FIN-10249,07/02/2024,Engineering,Travel & Entertainment,$0.00,$0.00,"$15,295.00","$16,040.00"
FIN-10250,29/03/2025,Operations,Office Supplies,$0.00,$0.00,"$19,903.00","$21,992.00"
FIN-10251,15/08/2025,Marketing,Travel & Entertainment,"$52,396.00","$58,785.00","$11,591.00","$12,734.00"
FIN-10252,09/02/2024,Engineering,Travel & Entertainment,$0.00,$0.00,"$44,080.00","$51,291.00"
FIN-10253,26/05/2024,HR,Payroll,$0.00,$0.00,"$41,290.00","$47,904.00"
FIN-10254,11/11/2025,Operations,Cloud Infrastructure,$0.00,$0.00,"$42,088.00","$49,622.00"
FIN-10255,21/12/2024,Engineering,Advertising,$0.00,$0.00,"$32,534.00","$37,885.00"
FIN-10256,10/07/2025,Marketing,Payroll,"$99,138.00","$110,412.00","$22,713.00","$21,319.00"
FIN-10257,28/12/2024,Operations,Advertising,$0.00,$0.00,"$52,534.00","$49,814.00"
FIN-10258,21/12/2024,Marketing,Advertising,"$107,932.00","$108,173.00","$43,062.00","$41,250.00"
